排名,电影名称,评分,评分,链接
226,末路狂花,8.7,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
227,2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
228,聚焦,8.8,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
229,勇闯夺命岛,8.6,类型片的极致。 ,https://movie.douban.com/subject/1292728/
230,变脸,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
231,发条橙,8.5,我完全康复了。,https://movie.douban.com/subject/1292233/
232,秒速5厘米,8.3,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
233,黄金三镖客,9.1,最棒的西部片。,https://movie.douban.com/subject/1401118/
234,黑鹰坠落,8.6,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
235,非常嫌疑犯,8.6,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
236,卡萨布兰卡,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/
237,我爱你,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
238,国王的演讲,8.3,皇上无话儿。,https://movie.douban.com/subject/4023638/
239,千钧一发,8.7,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
240,美国丽人,8.5,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
241,功夫,8.3,无,https://movie.douban.com/subject/1291543/
242,遗愿清单,8.5,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
243,疯狂的麦克斯4：狂暴之路,8.6,无,https://movie.douban.com/subject/3592854/
244,碧海蓝天,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
245,荒岛余生,8.5,一个人的独角戏。,https://movie.douban.com/subject/1298653/
246,英国病人,8.5,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
247,荒野生存,8.6,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
248,驴得水,8.3,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/
249,奇迹男孩,8.6,无,https://movie.douban.com/subject/26787574/
250,枪火,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
