address,company,detail,position
泉州,"
字节跳动
",大专以上 | 2年工作经验 | 全职 | 6-8千/月,广告设计师
广州,"
字节跳动
",本科以上 | 7年以上 | 全职,后台开发Leader广州
北京,"
字节跳动
",本科以上 | 3-4年经验 | 全职 | 2.5-4万/月,国际化法务 - 版权及侵权争议解决
成都,"
字节跳动
",本科以上 | 1年以上 | 全职,广告优化师
深圳,"
字节跳动
",本科以上 | 3-5年 | 全职 | 25000-50000元,后台研发工程师-风控方向
北京,"
字节跳动
",本科以上 | 实习 | 3-6千/月,短视频策划实习生
武汉,"
字节跳动
",本科以上 | 全职 | 6000-12000元,客服主管-居家方向
上海,"
字节跳动
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,抖音国际化质检--豪萨语
北京,"
字节跳动
",本科以上 | 实习 | 2000-3000元,内容运营实习生-社区类产品
北京,"
字节跳动
",本科以上 | 全职 | 6000-10000元,用户运营专员-轮班
厦门,"
字节跳动
",本科以上 | 1-3年 | 全职 | 15000-20000,客户端产品经理
上海,"
字节跳动
",本科以上 | 实习 | 6-8千/月,后端研发实习生
北京,"
字节跳动
",本科以上 | 实习 | 2000-3000元,新媒体运营实习生-社区类产品
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 25000-40000元,测试开发工程师
北京,"
字节跳动
",本科以上 | 3年以上 | 全职 | 9.6-18.0万元,搜索产品运营专员
广州,"
蓝月亮
",大专以上 | 5年以上 | 全职 | 14.4-18.0万元,业务经理
成都,"
蓝月亮
",本科以上 | 3年以上 | 全职 | 8.4-12.0万元,大客户主任
贵阳,"
蓝月亮
",本科以上 | 5年以上 | 全职 | 12.0-16.8万元,促销经理
广州,"
蓝月亮
",本科以上 | 1年以上 | 全职 | 8.4-14.4万元,新媒体策划
深圳,"
蓝月亮
",大专以上 | 3年以上 | 全职 | 10-12万,社区业务主任
广州,"
蓝月亮
",大专以上 | 3-5年 | 全职 | 4000-6000元,在线客服专员
广州,"
蓝月亮
",中专以上 | 全职 | 4-6千/月,客服专员
广州,"
蓝月亮
",大专以上 | 全职 | 4-6千/月,会员客服
广州,"
蓝月亮
",中专以上 | 全职 | 4-6千/月,电话客服专员
福州,"
蓝月亮
",大专以上 | 3年以上 | 全职 | 7.2-9.6万元,经销商开拓组长
南昌,"
蓝月亮
",2年以上 | 全职 | 4.8-9.6万元,促销督导
广州,"
蓝月亮
",大专以上 | 3年以上 | 全职 | 10-12万,社区业务主任
泸州,"
蓝月亮
",大专以上 | 1年以上 | 全职 | 4.8-7.2万元,巡场代表
上海,"
蓝月亮
",大专以上 | 3-4年工作经验 | 全职 | 1-1.5万/月,社区推广主任
长沙,"
蓝月亮
",大专以上 | 3年以上 | 全职 | 9.6-18.0万元,电商物流高级专员湖南
深圳,"
补氏家政连锁
",全职 | 5000-8000元,家教
深圳,"
补氏家政连锁
",全职 | 5000-8000元,管家
深圳,"
补氏家政连锁
",全职 | 5000-8000元,育婴师幼教早教
深圳,"
补氏家政连锁
",全职 | 4000-5000元,保姆
深圳,"
补氏家政连锁
",全职 | 8000以上元,月嫂培训育婴师培训
深圳,"
补氏家政连锁
",全职 | 8000以上元,月嫂母婴护理
北京,"
三一重工
",本科以上 | 2年以上 | 全职 | 20.4-36.0万元,传感器系统工程师
北京,"
三一重工
",本科以上 | 2年以上 | 全职 | 20.4-44.4万元,自动驾驶传感器硬件研发工程师
娄底,"
三一重工
",本科以上 | 1年以上 | 全职 | 9.6-18.0万元,工艺工程师
北京,"
三一重工
",本科以上 | 4年以上 | 全职 | 12.0-36.0万元,国际 资料工程师
深圳,"
三一重工
",本科以上 | 7年以上 | 全职 | 18.0-30.0万元,建筑设计师
北京,"
三一重工
",本科以上 | 8年以上 | 全职 | 24.0-36.0万元,绩效经理
北京,"
三一重工
",本科以上 | 2年以上 | 全职,督办经理
长沙,"
三一重工
",3年以上 | 全职 | 4.8-9.6万元,质检员
长沙,"
三一重工
",本科以上 | 全职 | 7.2-12.0万元,项目申报经理
长沙,"
三一重工
",本科以上 | 2年以上 | 全职,融资经理
长沙,"
三一重工
",本科以上 | 2年以上 | 全职 | 6.0-14.4万元,ssc薪酬福利主管
广州,"
三一重工
",本科以上 | 4年以上 | 全职 | 12.0-36.0万元,国际 资料工程师
长沙,"
三一重工
",硕士以上 | 8年以上 | 全职,控制专家控制所所长
长沙,"
三一重工
",本科以上 | 5年以上 | 全职,海外财务部部门经理
长沙,"
三一重工
",本科以上 | 5年以上 | 全职 | 12.0-18.0万元,策划经理
杭州,"
吉利汽车，吉利
",本科以上 | 5年以上 | 全职 | 12.0-24.0万元,碰撞安全工程师
北京,"
吉利汽车，吉利
",本科以上 | 5年以上 | 全职 | 20.0-40.0万元,大区经理
杭州,"
吉利汽车，吉利
",本科以上 | 8年以上 | 全职 | 24.0-42.0万元,会展会务总监
杭州,"
吉利汽车，吉利
",本科以上 | 5年以上 | 全职,市场经理
杭州,"
吉利汽车，吉利
",本科以上 | 5年以上 | 全职 | 12.0-18.0万元,公共关系主管
长春,"
吉利汽车，吉利
",全职 | 12.0-18.0万元,客户经理
杭州,"
吉利汽车，吉利
",全职 | 18.0-24.0万元,配置管理岗
宁波,"
吉利汽车，吉利
",本科以上 | 3年以上 | 全职 | 9.6-14.4万元,涂装工艺工程师
宁波,"
吉利汽车，吉利
",大专以上 | 2年以上 | 全职 | 6.5-10.4万元,成本管理岗
宁波,"
吉利汽车，吉利
",本科以上 | 8年以上 | 全职 | 10000.0-120000.0万元,备件计划经理
宁波,"
吉利汽车，吉利
",本科以上 | 2年经验 | 全职 | 4-6千/月,固定资产会计
杭州,"
吉利汽车，吉利
",中技以上 | 3年以上 | 全职 | 4.8-7.2万元,消防值班员
上海,"
吉利汽车，吉利
",本科以上 | 3年以上 | 全职 | 12.0-24.0万元,市场经理
杭州,"
吉利汽车，吉利
",全职 | 2-2.5万/月,性能测试
宁波,"
吉利汽车，吉利
",中技以上 | 3年以上 | 全职 | 4500.0-6000.0万元,电器调试工
惠州,"
伯恩光学
",大专以上 | 1年以上 | 全职 | 4500-5500,心理辅导师 心理辅导员
惠州,"
伯恩光学
",大专以上 | 1年经验 | 全职 | 6-8千/月,CTP结构工程师
惠州,"
伯恩光学
",大专以上 | 1年经验 | 全职 | 6-8千/月,工艺工程师
惠州,"
伯恩光学
",大专以上 | 5年 | 全职 | 12-18k,生产经理
惠州,"
伯恩光学
",高中以上 | 1年以上 | 全职 | 4500-7000,手语翻译
惠州,"
伯恩光学
",本科以上 | 2年经验 | 全职 | 6-8千/月,法务专员
深圳,"
伯恩光学
",硕士以上 | 全职 | 6000-7999元,化学工程师
惠州,"
伯恩光学
",中专以上 | 3-4年经验 | 全职 | 7-9千/月,自动化工程师
深圳,"
伯恩光学
",大专以上 | 全职 | 6000-7999元,蓝宝石研发工程师
惠州,"
伯恩光学
",中专以上 | 2年以上 | 全职 | 6000-7999元,质量体系工程师
深圳,"
伯恩光学
",大专以上 | 1年以上 | 全职 | 6000-7999元,研发工程师
惠州,"
伯恩光学
",初中以上 | 全职 | 6000-7999元,钳工师傅
深圳,"
伯恩光学
",大专以上 | 2年以上 | 全职 | 6000-7999元,机械工程师
惠州,"
伯恩光学
",初中以上 | 全职 | 4000-5999元,大量招聘男女普工
惠州,"
伯恩光学
",大专以上 | 全职 | 4000-5999元,总监助理
武汉,"
纳杰人才网
",大专以上 | 实习,招聘实习生
武汉,"
纳杰人才网
",实习,招聘专员管培生
武汉,"
纳杰人才网
",本科以上 | 实习,培训专员
武汉,"
纳杰人才网
",大专以上 | 实习,猎头实习生
武汉,"
纳杰人才网
",大专以上 | 实习 | 2001-4000元/月,人事专员
武汉,"
纳杰人才网
",大专以上 | 实习,人事实习生
武汉,"
纳杰人才网
",全职,普工
黄石,"
纳杰人才网
",大专以上 | 全职 | 4000 - 5999,电话营销
黄石,"
纳杰人才网
",大专以上 | 全职 | 3000 - 3999,销售代表
